@date: 2014-06-26
@url: http://www.quanthistling.info/data/source/larson1966/dictionary-1-90.html
@source_title: Vocabulario Aguaruna de Amazonas
@source_author: Larson, Mildred L.
@source_year: 1966
QLCID	HEAD	HEAD_DOCULECT	TRANSLATION	TRANSLATION_DOCULECT	POS
larson1966/1/28	agkát	Aguaruna	ausentarse	Castellano	
larson1966/1/29	agká̱u̱	Aguaruna	espacio	Castellano	
larson1966/1/30	aágkeas	Aguaruna	lanza de chonta	Castellano	
larson1966/1/31	agkettsát	Aguaruna	guardar para otro	Castellano	
larson1966/1/32	áagku̱	Aguaruna	telaraña	Castellano	
larson1966/1/33	aagkú̱	Aguaruna	puesta de sol	Castellano	
larson1966/1/33	aagkú̱	Aguaruna	atardecer	Castellano	
larson1966/1/34	ágkuanip	Aguaruna	especie de abeja	Castellano	
larson1966/1/35	agkuántai̱	Aguaruna	en la tarde	Castellano	
larson1966/2/1	agséa	Aguaruna	anzuelo	Castellano	
larson1966/2/2	a̱í̱mat	Aguaruna	llenar	Castellano	
larson1966/2/3	a̱i̱mát	Aguaruna	contestar	Castellano	
larson1966/2/3	a̱i̱mát	Aguaruna	responder	Castellano	
larson1966/2/3	a̱i̱mát	Aguaruna	aceptar	Castellano	
larson1966/2/4	ainát	Aguaruna	tender	Castellano	
larson1966/2/5	áinkagtin	Aguaruna	el que persigue	Castellano	
larson1966/2/6	aintát	Aguaruna	seguir	Castellano	
larson1966/2/6	aintát	Aguaruna	persiguir	Castellano	
larson1966/2/7	aipét	Aguaruna	tenderlo	Castellano	
larson1966/2/8	áishi̱	Aguaruna	marido	Castellano	
larson1966/2/8	áishi̱	Aguaruna	esposo	Castellano	
larson1966/2/9	áishinat	Aguaruna	casarse con un hombre	Castellano	
larson1966/2/10	áishmag	Aguaruna	hombre	Castellano	
larson1966/2/10	áishmag	Aguaruna	varón	Castellano	
larson1966/2/11	aí̱t	Aguaruna	contestar	Castellano	
larson1966/2/11	aí̱t	Aguaruna	aceptar	Castellano	
larson1966/2/11	aí̱t	Aguaruna	responder	Castellano	
larson1966/2/12	aitít	Aguaruna	sobrar	Castellano	
larson1966/2/13	ai̱tút	Aguaruna	tender cama para otro	Castellano	
larson1966/2/14	ája	Aguaruna	chacra	Castellano	
larson1966/2/15	ajágtin	Aguaruna	dueño de la chacra	Castellano	
larson1966/2/16	ajájatu	Aguaruna	pegajoso	Castellano	
larson1966/2/17	ajajín	Aguaruna	camino a la chacra	Castellano	
larson1966/2/18	ája̱k	Aguaruna	cosecha	Castellano	
larson1966/2/18	ája̱k	Aguaruna	semilla	Castellano	
larson1966/2/19	ajá̱k ajá̱kbau	Aguaruna	agricultor	Castellano	
larson1966/2/20	ajá̱kmat	Aguaruna	plantación	Castellano	
