@date: 2014-06-26
@url: http://www.quanthistling.info/data/source/pellizaronawech2005/dictionary-112-495.html
@source_title: Chicham Diccionario Shuar-Castellano
@source_author: Pellizaro, P. Siro M. & Náwech, Fausto Oswaldo
@source_year: 2005
QLCID	HEAD	HEAD_DOCULECT	TRANSLATION	TRANSLATION_DOCULECT	POS
pellizaronawech2005/112/1	a	Shuar	haber (estar, ser)	Castellano	m.
pellizaronawech2005/112/2	asa	Shuar	estar	Castellano	m.
pellizaronawech2005/112/2	asa	Shuar	haber	Castellano	m.
pellizaronawech2005/112/2	asa	Shuar	ser	Castellano	m.
pellizaronawech2005/112/3	it	Shuar	ser	Castellano	y. uk.
pellizaronawech2005/112/4	aa̱	Shuar	afuera	Castellano	
pellizaronawech2005/112/5	aa	Shuar	cierto	Castellano	ui.
pellizaronawech2005/112/6	aak	Shuar	cobertizo	Castellano	na.
pellizaronawech2005/112/6	aak	Shuar	rancho (hojas inclinadas clavadas en el suelo)	Castellano	na.
pellizaronawech2005/112/7	aákmak	Shuar	ranchear	Castellano	u.
pellizaronawech2005/112/7	aákmak	Shuar	acabañar	Castellano	u.
pellizaronawech2005/112/7	aákmak	Shuar	construir un cobertizo	Castellano	u.
pellizaronawech2005/112/8	aákmar	Shuar	escribir	Castellano	um.
pellizaronawech2005/112/8	aákmar	Shuar	rayar	Castellano	um.
pellizaronawech2005/112/9	aár	Shuar	escribirle	Castellano	u.
pellizaronawech2005/112/9	aár	Shuar	rayarle	Castellano	u.
pellizaronawech2005/112/10	aákmatai	Shuar	pizarrón (lugar que sirve para escribir)	Castellano	na.
pellizaronawech2005/112/11	aákmarma	Shuar	escrito	Castellano	ni. na.
pellizaronawech2005/112/11	aákmarma	Shuar	escrita	Castellano	ni. na.
pellizaronawech2005/112/11	aákmarma	Shuar	escritura	Castellano	ni. na.
pellizaronawech2005/112/12	áakiamp	Shuar	pez (tipo bagre, rayas anchas blancas y negras)	Castellano	na.
pellizaronawech2005/112/13	á̱akratin	Shuar	homosexual	Castellano	na.
pellizaronawech2005/112/14	aámankᵉ	Shuar	dibujo	Castellano	na.
pellizaronawech2005/112/14	aámankᵉ	Shuar	lo dibujado	Castellano	na.
pellizaronawech2005/112/14	aámankᵉ	Shuar	el dibujo de la piel (de los animales)	Castellano	na.
pellizaronawech2005/113/2	aámp'	Shuar	cogollo (de la pelma)	Castellano	na.
pellizaronawech2005/113/3	aánka	Shuar	abrir rendijas	Castellano	u.
pellizaronawech2005/113/3	aánka	Shuar	abrir boquetes	Castellano	u.
pellizaronawech2005/113/3	aánka	Shuar	apartar	Castellano	u.
pellizaronawech2005/113/3	aánka	Shuar	conceder una mora	Castellano	u.
pellizaronawech2005/113/4	ánkas	Shuar	apartarse	Castellano	m.
pellizaronawech2005/113/5	aánkamu	Shuar	con rendija	Castellano	ni.na.
pellizaronawech2005/113/5	aánkamu	Shuar	las rendija	Castellano	ni.na.
pellizaronawech2005/113/6	aanktumá	Shuar	tener los huevos en formación (los peces)	Castellano	m.
pellizaronawech2005/113/7	teérmak	Shuar	tener los huevos ya formados (los peces)	Castellano	m.
pellizaronawech2005/113/8	aanktumamu	Shuar	con huevos en formación	Castellano	ni.na.
pellizaronawech2005/113/8	aanktumamu	Shuar	los huevos en formación	Castellano	ni.na.
pellizaronawech2005/113/9	aánku	Shuar	telaraña	Castellano	na.
pellizaronawech2005/113/10	aankú	Shuar	ocaso	Castellano	na.
pellizaronawech2005/113/11	aankúa	Shuar	ponerse el sol	Castellano	m.
pellizaronawech2005/113/11	aankúa	Shuar	llegar al ocaso	Castellano	m.
pellizaronawech2005/113/12	aankuamu	Shuar	puesto el sol	Castellano	ni.na.
pellizaronawech2005/113/12	aankuamu	Shuar	el ocaso	Castellano	ni.na.
pellizaronawech2005/113/12	aankuamu	Shuar	la puesta del sol	Castellano	ni.na.
pellizaronawech2005/113/13	aankuántmar	Shuar	ponérsele el sol	Castellano	4m
pellizaronawech2005/113/14	aánkuch'	Shuar	transparente (tela)	Castellano	ni.na.
pellizaronawech2005/113/14	aánkuch'	Shuar	muselina	Castellano	ni.na.
pellizaronawech2005/113/14	aánkuch'	Shuar	gasa	Castellano	ni.na.
pellizaronawech2005/113/14	aánkuch'	Shuar	velo	Castellano	ni.na.
pellizaronawech2005/113/15	áanchi	Shuar	tábano	Castellano	na.
pellizaronawech2005/113/16	aántar	Shuar	de balde	Castellano	ui
pellizaronawech2005/113/17	aántratsuk	Shuar	adrede	Castellano	
pellizaronawech2005/113/18	aápa	Shuar	embocar	Castellano	u.
pellizaronawech2005/113/18	aápa	Shuar	meter en la boca	Castellano	u.
pellizaronawech2005/113/19	apáa	Shuar	abocar	Castellano	
pellizaronawech2005/113/19	apáa	Shuar	agarrar con la boca	Castellano	
pellizaronawech2005/113/20	apak	Shuar	poner junto	Castellano	
pellizaronawech2005/113/20	apak	Shuar	aparejar	Castellano	
pellizaronawech2005/113/20	apak	Shuar	complementar	Castellano	
pellizaronawech2005/113/21	apar	Shuar	coser	Castellano	
