@date: 2014-06-26
@url: http://www.quanthistling.info/data/source/jakway2008/dictionary-15-125.html
@source_title: Vocabulario Huambisa
@source_author: Jakway, Martha
@source_year: 2008
QLCID	HEAD	HEAD_DOCULECT	TRANSLATION	TRANSLATION_DOCULECT	POS
jakway2008/15/2	aa	Huambisa	afuera	Castellano	
jakway2008/15/3	aach	Huambisa	afuerita	Castellano	
jakway2008/15/4	aagkatasa	Huambisa	alejarse	Castellano	
jakway2008/15/4	aagkamu	Huambisa	alejarse	Castellano	
jakway2008/15/4	aagkat	Huambisa	alejarse	Castellano	
jakway2008/15/5	aagku	Huambisa	tarde (parte del día)	Castellano	
jakway2008/15/5	aagku	Huambisa	en la tarde	Castellano	
jakway2008/15/5	aagkun	Huambisa	tarde (parte del día)	Castellano	
jakway2008/15/5	aagkun	Huambisa	en la tarde	Castellano	
jakway2008/15/6	aagkua	Huambisa	telaraña	Castellano	
jakway2008/15/6	aagkuan	Huambisa	telaraña	Castellano	
jakway2008/15/7	aai	Huambisa	allá	Castellano	
jakway2008/15/8	aak	Huambisa	choza	Castellano	
jakway2008/15/8	aak	Huambisa	tambo	Castellano	
jakway2008/15/8	aakan	Huambisa	choza	Castellano	
jakway2008/15/8	aakan	Huambisa	tambo	Castellano	
jakway2008/15/9	aakmaktasa	Huambisa	hacer choza	Castellano	
jakway2008/15/9	aakmaktasa	Huambisa	hacer tambo	Castellano	
jakway2008/15/9	aakmamu	Huambisa	hacer choza	Castellano	
jakway2008/15/9	aakmamu	Huambisa	hacer tambo	Castellano	
jakway2008/15/9	aakmat	Huambisa	hacer choza	Castellano	
jakway2008/15/9	aakmat	Huambisa	hacer tambo	Castellano	
jakway2008/15/10	aankutasa	Huambisa	reservar espacio	Castellano	
jakway2008/15/10	aankamu	Huambisa	reservar espacio	Castellano	
jakway2008/15/10	aanta	Huambisa	reservar espacio	Castellano	
jakway2008/15/11	aartasa	Huambisa	escribir	Castellano	
jakway2008/15/11	aartasa	Huambisa	dar de beber	Castellano	
jakway2008/15/11	aamu	Huambisa	escribir	Castellano	
jakway2008/15/11	aamu	Huambisa	dar de beber	Castellano	
jakway2008/15/11	aat	Huambisa	escribir	Castellano	
jakway2008/15/11	aat	Huambisa	dar de beber	Castellano	
jakway2008/15/12	aatai	Huambisa	lápiz	Castellano	
jakway2008/15/12	aatai	Huambisa	lapicero	Castellano	
jakway2008/15/12	aatai	Huambisa	tiza	Castellano	
jakway2008/15/12	aatai	Huambisa	cuaderno	Castellano	
jakway2008/15/12	aatain	Huambisa	lápiz	Castellano	
jakway2008/15/12	aatain	Huambisa	lapicero	Castellano	
jakway2008/15/12	aatain	Huambisa	tiza	Castellano	
jakway2008/15/12	aatain	Huambisa	cuaderno	Castellano	
jakway2008/15/13	achayap	Huambisa	especie de pájaro comestible de cabeza amarilla	Castellano	
