@date: 2014-06-26
@url: http://www.quanthistling.info/data/source/yagkug1998/dictionary-8-158.html
@source_title: DICCIONARIO AGUARUNA CASTELLANO
@source_author: Yagkug, Abel Uwarai, Suikai, Isaac Paz, Regan, Jaime S.J.
@source_year: 1998
QLCID	HEAD	HEAD_DOCULECT	TRANSLATION	TRANSLATION_DOCULECT	POS
yagkug1998/8/1	áagkeas	Aguaruna	lanza de chonta	Castellano	n
yagkug1998/8/1	áagkeasa	Aguaruna	lanza de chonta	Castellano	n
yagkug1998/8/2	aágkut	Aguaruna	dejar espacio	Castellano	v
yagkug1998/8/2	aágkut	Aguaruna	reservar	Castellano	v
yagkug1998/8/2	aágkatasa	Aguaruna	dejar espacio	Castellano	v
yagkug1998/8/2	aágkatasa	Aguaruna	reservar	Castellano	v
yagkug1998/8/2	áagkuamu	Aguaruna	dejar espacio	Castellano	v
yagkug1998/8/2	áagkuamu	Aguaruna	reservar	Castellano	v
yagkug1998/8/3	áah	Aguaruna	ay	Castellano	interj
yagkug1998/8/3	áah	Aguaruna	expresión de dolor	Castellano	interj
yagkug1998/8/4	aája̱	Aguaruna	después de dar de beber a otra persona	Castellano	adj
yagkug1998/8/4	aája̱	Aguaruna	después de dar de beber a otra persona	Castellano	adj
yagkug1998/8/5	a̱á̱ja̱	Aguaruna	de esta manera	Castellano	conj
yagkug1998/8/5	a̱á̱ja̱	Aguaruna	así	Castellano	conj
yagkug1998/8/6	a̱á̱jampash	Aguaruna	así...? ¿de esa manera? ¿quizás así...? ¿tal vez de esa manera	Castellano	interr
yagkug1998/8/7	aák	Aguaruna	cabaña	Castellano	n
yagkug1998/8/7	aák	Aguaruna	choza	Castellano	n
yagkug1998/8/7	aák	Aguaruna	tambo	Castellano	n
yagkug1998/8/7	aaká	Aguaruna	cabaña	Castellano	n
yagkug1998/8/7	aaká	Aguaruna	choza	Castellano	n
yagkug1998/8/7	aaká	Aguaruna	tambo	Castellano	n
yagkug1998/8/8	aákmat	Aguaruna	construir choza	Castellano	v
yagkug1998/8/8	aakmáktasa	Aguaruna	construir choza	Castellano	v
yagkug1998/8/8	aákmamu	Aguaruna	construir choza	Castellano	v
yagkug1998/8/9	áam	Aguaruna	hoja comestible de huitina	Castellano	n
yagkug1998/8/9	aámpi	Aguaruna	hoja comestible de huitina	Castellano	n
yagkug1998/8/10	áambai	Aguaruna	así sea por siempre (conjurar)	Castellano	v
yagkug1998/8/10	áambai	Aguaruna	existir	Castellano	v
yagkug1998/8/10	áambai	Aguaruna	haber	Castellano	v
yagkug1998/8/10	áambai	Aguaruna	así sea por siempre (conjurar)	Castellano	v
yagkug1998/8/10	áambai	Aguaruna	existir	Castellano	v
yagkug1998/8/10	áambai	Aguaruna	haber	Castellano	v
yagkug1998/8/11	aán	Aguaruna	mucho más con «múun»	Castellano	adv
yagkug1998/8/11	aán	Aguaruna	mucho menos con «piípich»	Castellano	adv
yagkug1998/8/11	aán	Aguaruna	señala dirección	Castellano	adv
yagkug1998/8/12	aán	Aguaruna	por allá	Castellano	adv
yagkug1998/8/13	áanin	Aguaruna	igual que	Castellano	adj
yagkug1998/8/13	áanin	Aguaruna	parecido a	Castellano	adj
yagkug1998/8/13	áannu	Aguaruna	igual que	Castellano	adj
yagkug1998/8/13	áannu	Aguaruna	parecido a	Castellano	adj
yagkug1998/8/14	aánke	Aguaruna	eso no más	Castellano	adv
yagkug1998/8/14	aánke	Aguaruna	él mismo	Castellano	adv
yagkug1998/8/14	aánke	Aguaruna	por alli	Castellano	adv
