@date: 2014-07-03
@url: http://www.quanthistling.info/data/source/mori1981/dictionary-1-78.html
@source_title: Glosario Aguaruna-Castellano
@source_author: Mori, Angel Corbera
@source_year: 1981
QLCID	HEAD	HEAD_DOCULECT	TRANSLATION	TRANSLATION_DOCULECT	POS
mori1981/1/1	aák	Aguaruna	choza	Castellano	n
mori1981/1/1	aák	Aguaruna	tambo	Castellano	n
mori1981/1/1	aáka	Aguaruna	choza	Castellano	n
mori1981/1/1	aáka	Aguaruna	tambo	Castellano	n
mori1981/1/2	ãã́	Aguaruna	sí	Castellano	adv
mori1981/1/2	ãã́	Aguaruna	está bien	Castellano	adv
mori1981/1/3	ã́ãgku	Aguaruna	telaraña	Castellano	n
mori1981/1/4	ããgkú	Aguaruna	tarde	Castellano	n
mori1981/1/4	ããgkú	Aguaruna	(el) atardecer	Castellano	n
mori1981/1/5	yúta	Aguaruna	merienda	Castellano	n
mori1981/1/6	aátus	Aguaruna	así	Castellano	adv
mori1981/1/7	achá	Aguaruna	no sé	Castellano	interj
mori1981/1/8	achám	Aguaruna	picante	Castellano	adj
mori1981/1/9	achayã́pi	Aguaruna	especie de pájaro cuya cabeza es de color rojo	Castellano	n
mori1981/1/10	achimtái	Aguaruna	pasamano	Castellano	n
mori1981/1/10	achimtái	Aguaruna	baranda para agarrarse	Castellano	n
mori1981/1/11	achít	Aguaruna	agarrar	Castellano	v
mori1981/1/12	achitái	Aguaruna	martillo	Castellano	n
mori1981/1/12	achitái	Aguaruna	clavo	Castellano	n
mori1981/1/13	achitmáu	Aguaruna	asimiento	Castellano	n
mori1981/1/13	achitmáu	Aguaruna	prisionero	Castellano	n
mori1981/1/14	áchu	Aguaruna	aguaje	Castellano	n
mori1981/1/14	áchu	Aguaruna	especie de palmera. gen. mauritia flexuosa	Castellano	n
mori1981/1/14	áchu	Aguaruna	los que son comibles	Castellano	n
mori1981/1/15	achuána	Aguaruna	especie de palmera	Castellano	n
mori1981/1/16	adáyat	Aguaruna	nombrar	Castellano	verb
mori1981/1/16	adáyat	Aguaruna	dar nombre a alguien	Castellano	verb
mori1981/1/17	acháet	Aguaruna	medianoche	Castellano	n
mori1981/1/18	aénts	Aguaruna	gente	Castellano	n
mori1981/1/18	aénts	Aguaruna	persona	Castellano	n
mori1981/1/18	aéntsu	Aguaruna	gente	Castellano	n
mori1981/1/18	aéntsu	Aguaruna	persona	Castellano	n
mori1981/1/19	aéntsmat	Aguaruna	criar	Castellano	verb
mori1981/1/20	áet	Aguaruna	verde	Castellano	adj
mori1981/1/21	ãgã́	Aguaruna	afuera	Castellano	adv
mori1981/1/21	ãgã́	Aguaruna	en lo exterior	Castellano	adv
mori1981/1/21	ãgã́	Aguaruna	fuera de algún sitio	Castellano	adv
mori1981/1/22	agáekiam	Aguaruna	especie de pez	Castellano	n
mori1981/1/23	ágat	Aguaruna	escribir	Castellano	verb
mori1981/1/24	agátai	Aguaruna	pizarra	Castellano	n
mori1981/1/24	agátai	Aguaruna	cuaderno	Castellano	n
mori1981/1/25	agkaína	Aguaruna	avispa (especie)	Castellano	n
mori1981/1/25	agkaína	Aguaruna	de color negro	Castellano	n
mori1981/1/25	agkaína	Aguaruna	vive pegada en los árboles	Castellano	n
mori1981/2/1	agkájũ	Aguaruna	desierto	Castellano	adj
mori1981/2/1	agkájũ	Aguaruna	desocupado	Castellano	adj
mori1981/2/1	agkájũ	Aguaruna	abandonado	Castellano	adj
mori1981/2/1	agkájũ	Aguaruna	libre. cf. agkántu	Castellano	adj
mori1981/2/2	agkán	Aguaruna	agkántu	Castellano	cf
mori1981/2/2	agkán	Aguaruna	agkájũ	Castellano	cf
mori1981/2/3	agkánjam	Aguaruna	señorita	Castellano	n
mori1981/2/4	agkántu	Aguaruna	cf. agkán	Castellano	adj
mori1981/2/5	agkát	Aguaruna	alejarse	Castellano	verb
mori1981/2/5	agkát	Aguaruna	ausentarse	Castellano	verb
mori1981/2/5	agkát	Aguaruna	ir lejos	Castellano	verb
mori1981/2/6	agséa	Aguaruna	anzuelo	Castellano	n
mori1981/2/7	aiháigka	Aguaruna	especie de zorro	Castellano	n
mori1981/2/7	aiháigka	Aguaruna	persigue a los ratones y mata a otros animales pequeños	Castellano	n
mori1981/2/8	áihai	Aguaruna	nombre de un insecto	Castellano	n
mori1981/2/9	áima	Aguaruna	llenarse de agua	Castellano	verb
mori1981/2/9	áima	Aguaruna	llenar de agua algún depósi to	Castellano	verb
mori1981/2/10	aimát	Aguaruna	contestar	Castellano	verb
mori1981/2/10	aimát	Aguaruna	responder	Castellano	verb
mori1981/2/11	ainát	Aguaruna	tender	Castellano	verb
mori1981/2/12	áinau	Aguaruna	ser (la forma más empleada es:son)	Castellano	verb
mori1981/2/13	áinmau	Aguaruna	persecución	Castellano	n
mori1981/2/14	aintút	Aguaruna	perseguir	Castellano	verb
mori1981/2/14	aintút	Aguaruna	seguir	Castellano	verb
mori1981/2/15	áishĩ	Aguaruna	(su) marido	Castellano	n
mori1981/2/15	áishĩ	Aguaruna	esposo	Castellano	n
mori1981/2/16	áishinat	Aguaruna	casarse (la mujer)	Castellano	verb
mori1981/2/17	áishintin	Aguaruna	esposo	Castellano	n
mori1981/2/18	ája	Aguaruna	Las chacras aguarunas fundamen talmente cultivan yuca y plátanos	Castellano	n
mori1981/2/18	ája	Aguaruna	Terreno sembrado de hortalizas, verduras, árboles frutales	Castellano	n
mori1981/2/19	ajám	Aguaruna	chacra antigua	Castellano	n
mori1981/2/20	ajamát	Aguaruna	hacer chacras	Castellano	verb
mori1981/2/21	ajampét	Aguaruna	Invitar a alguien a comer, tomar	Castellano	verb
mori1981/2/22	ajámu	Aguaruna	sembrío	Castellano	n
mori1981/2/23	aján	Aguaruna	apartado	Castellano	adj
mori1981/2/23	aján	Aguaruna	retirado	Castellano	adj
mori1981/2/24	ajapéamu	Aguaruna	aborto	Castellano	n
mori1981/2/25	ajápet	Aguaruna	tirar	Castellano	verb
mori1981/2/25	ajápet	Aguaruna	botar	Castellano	verb
mori1981/2/25	ajápet	Aguaruna	arrojar	Castellano	verb
mori1981/2/26	ajápnakiu	Aguaruna	inservible	Castellano	adj
mori1981/2/26	ajápnakiu	Aguaruna	miserable	Castellano	adj
mori1981/2/27	ájat	Aguaruna	cortar con hacha	Castellano	verb
mori1981/2/27	ájat	Aguaruna	tumbar árboles	Castellano	verb
mori1981/2/28	aját	Aguaruna	sembrar	Castellano	verb
mori1981/3/1	ãjãtín	Aguaruna	pegajoso	Castellano	adj
mori1981/3/2	ajiámu	Aguaruna	estaca	Castellano	n
mori1981/3/3	áju	Aguaruna	nigua	Castellano	n
mori1981/3/3	áju	Aguaruna	pique	Castellano	n
mori1981/3/4	ajũã́mu	Aguaruna	caída	Castellano	n
mori1981/3/4	ajũã́mu	Aguaruna	derribamiento	Castellano	n
mori1981/3/5	ajṹm	Aguaruna	después	Castellano	adv
mori1981/3/6	ajunmáu	Aguaruna	vaciado	Castellano	n
mori1981/3/6	ajunmáu	Aguaruna	lanzamiento	Castellano	n
mori1981/3/7	ajuntút	Aguaruna	vaciar agua en la olla	Castellano	verb
mori1981/3/7	ajuntút	Aguaruna	tirar con anzuelo	Castellano	verb
mori1981/3/8	ájũs	Aguaruna	arroz	Castellano	n
mori1981/3/9	ajṹt	Aguaruna	tumbar cualquier cosa	Castellano	verb
mori1981/3/9	ajṹt	Aguaruna	derribar	Castellano	verb
mori1981/3/10	áka	Aguaruna	Gusano de perro, carne	Castellano	n
mori1981/3/11	akáchu	Aguaruna	cintura	Castellano	n
mori1981/3/11	akáchu	Aguaruna	cinturón (referido sólo a mujeres)	Castellano	n
mori1981/3/12	akáchumat	Aguaruna	ponerse el cinturón	Castellano	verb
mori1981/3/13	akáchumtai	Aguaruna	correa	Castellano	n
mori1981/3/13	akáchumtai	Aguaruna	cinturón	Castellano	n
mori1981/3/14	akagát	Aguaruna	bajar	Castellano	verb
mori1981/3/15	akagét	Aguaruna	bajar	Castellano	verb
mori1981/3/15	akagét	Aguaruna	bajada (de una cuesta)	Castellano	verb
mori1981/3/16	akágkit	Aguaruna	adorno en la oreja	Castellano	n
mori1981/3/17	akajṹ	Aguaruna	escopeta	Castellano	n
mori1981/3/18	akajṹ japíke	Aguaruna	baqueta	Castellano	n
mori1981/3/19	akajṹ japitái	Aguaruna	limpiador de la escopeta	Castellano	n
mori1981/3/20	akáp	Aguaruna	hígado	Castellano	n
mori1981/3/20	akapé	Aguaruna	hígado	Castellano	n
mori1981/3/21	akáp dáwe	Aguaruna	planta del pie	Castellano	n
mori1981/3/22	akáp úwej	Aguaruna	palma de la mano	Castellano	n
mori1981/3/23	akásmat	Aguaruna	tener celos	Castellano	verb
mori1981/3/24	akásmau	Aguaruna	celoso	Castellano	adj
mori1981/3/25	akát	Aguaruna	desgranar	Castellano	verb
mori1981/3/26	akáti	Aguaruna	cogollo	Castellano	n
mori1981/3/27	akátmamat	Aguaruna	despedirse de un amigo	Castellano	verb
mori1981/3/28	akegát	Aguaruna	bajarse de un árbol	Castellano	verb
mori1981/3/29	akíjũt	Aguaruna	tapar un hueco	Castellano	verb
mori1981/3/30	ákik	Aguaruna	caro	Castellano	adj
mori1981/3/31	ákikchau	Aguaruna	barato	Castellano	adj
mori1981/3/32	akít	Aguaruna	Pagar	Castellano	verb
mori1981/3/32	akíkmat	Aguaruna	Pagar	Castellano	verb
mori1981/3/33	akiítai	Aguaruna	arete	Castellano	n
mori1981/3/34	akútut	Aguaruna	cerbatanear	Castellano	verb
mori1981/3/34	akútut	Aguaruna	herir	Castellano	verb
mori1981/3/34	akútut	Aguaruna	hincar	Castellano	verb
mori1981/3/35	amáin	Aguaruna	Banda del rio	Castellano	n
mori1981/3/35	amáin	Aguaruna	Banda del rio (ribera opuesta)	Castellano	n
mori1981/3/36	amáinat	Aguaruna	alcanzar (en el camino)	Castellano	verb
mori1981/4/1	amamát	Aguaruna	atascarse	Castellano	verb
mori1981/4/1	amamát	Aguaruna	atollarse en el barro	Castellano	verb
mori1981/4/2	amána	Aguaruna	tarántula	Castellano	n
mori1981/4/3	amát	Aguaruna	dar	Castellano	verb
mori1981/4/4	áme	Aguaruna	tú	Castellano	propers
mori1981/4/4	áme	Aguaruna	ud	Castellano	propers
mori1981/4/5	ámich	Aguaruna	manco (especie de zorro negro). eira barbara. fam. mustelidae. ámicha	Castellano	n
mori1981/4/5	ámich	Aguaruna	áme dekatkau ekémsata 'amich	Castellano	n
mori1981/4/5	ámicha	Aguaruna	manco (especie de zorro negro). eira barbara. fam. mustelidae. ámicha	Castellano	n
mori1981/4/5	ámicha	Aguaruna	áme dekatkau ekémsata 'amich	Castellano	n
mori1981/4/6	ámina	Aguaruna	a ti	Castellano	propers
mori1981/4/6	ámina	Aguaruna	a ud	Castellano	propers
mori1981/4/7	áminu	Aguaruna	tuyo	Castellano	poses
mori1981/4/8	ámpi	Aguaruna	remedio	Castellano	n
mori1981/4/8	ámpi	Aguaruna	medicina	Castellano	n
mori1981/4/9	ampíjatin	Aguaruna	adj	Castellano	n
mori1981/4/10	ampít	Aguaruna	curar	Castellano	verb
